text,content_type,id,meta,score,embedding,country
the second cycle will contribute to the implementation strategy of the brazilian ndc by the federal government assumptions and methodological approaches including those for estimating and accounting for anthropogenic greenhouse gas emissions and as appropriate removals assumptions and methodological approaches used for accounting for anthropogenic greenhouse gas emissions and removals corresponding to the party s nationally determined contribution consistent with decision cp paragraph and accounting guidance adopted by the cma brazil will update its national inventories for the historical series based on the ipcc guidelines or any subsequent guidelines that may come to replace them,text,411da3e34cf74c02af45114e3609a5b1,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 21}",,,Updated - First NDC - FINAL - PDF.docx
assumptions and methodological approaches used for accounting for the implementation of policies and measures or strategies in the nationally determined contribution brazil will also apply specific assumptions and methodologies when appropriate when assessing progress made under the policies and measures related to the implementation of its ndc in its biennial transparency reports btrs if applicable information on how the party will take into account existing methods and guidance under the convention to account for anthropogenic emissions and removals in accordance with article paragraph of the paris agreement as appropriate see a above,text,f3bc2d1aa3d5df5ca7f5d8da17805f69,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 22}",,,Updated - First NDC - FINAL - PDF.docx
ipcc methodologies and metrics used for estimating anthropogenic greenhouse gas emissions and removals emissions of gases covered by brazil s ndc will be calculated based on the ipcc guidelines the methodological tier to be employed will depend on the availability of data in the different sectors brazil will make an effort to apply at least tier methodologies for the key categories identified emissions of the covered gases will be aggregated in terms of the year timehorizon global warming potential gwp on the basis of the values stipulated in the ipcc fifth assessment report or year timehorizon global warming potential values subsequently determined by the ipcc as agreed by the cma,text,6ef9957e06c714ea3610dd8327c687ec,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 23}",,,Updated - First NDC - FINAL - PDF.docx
consistent with decision cma brazil will also continue to employ the global temperature potential gtp which is a more accurate metric for assessing the contribution of different gases to climate change sector category or activityspecific assumptions methodologies and approaches consistent with ipcc guidance as appropriate including as applicable approach to addressing emissions and subsequent removals from natural disturbances on managed lands this approach will still be defined and subsequently informed approach used to account for emissions and removals from harvested wood products brazil will use the production approach consistent with the ipcc guidelines approach used to address the effects of ageclass structure in forests this approach will still be defined and subsequently informed,text,2efcd4702d5572391d3cee9673700754,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 24}",,,Updated - First NDC - FINAL - PDF.docx
other assumptions and methodological approaches used for understanding the nationally determined contribution and if applicable estimating corresponding emissions and removals including how the reference indicators baselines andor reference levels including where applicable sector category or activityspecific reference levels are constructed including for example key parameters assumptions definitions methodologies data sources and models used brazil has not used any other assumptions or methodological approaches for parties with nationally determined contributions that contain nongreenhousegas components information on assumptions and methodological approaches used in relation to those components as applicable not applicable for climate forcers included in nationally determined contributions not covered by ipcc guidelines information on how the climate forcers are estimated not applicable further technical information as necessary not applicable,text,a9ff2f42d9bcf82e4cdb41f49779fe60,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 25}",,,Updated - First NDC - FINAL - PDF.docx
the intention to use voluntary cooperation under article of the paris agreement if applicable brazil will strive to achieve its ndc through domestic measures to be coordinated and implemented by the federal government the brazilian government does not rule out the use of internationally transferred mitigation outcomes itmos as defined in article of the paris agreement to complement national efforts in the achievement of the brazilian ndc brazil can also consider the possibility of transferring international mitigation outcomes generated within the national territory,text,352811146485f07c3361ce8edb66df03,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 26}",,,Updated - First NDC - FINAL - PDF.docx
any international transfers of mitigation outcomes obtained within the brazilian territory will be subject to prior and formal consent by the federal government in accordance with the terms and conditions including legislation to be nationally developed to that end how the party considers that its nationally determined contribution is fair and ambitious in the light of its national circumstances a how the party considers that its nationally determined contribution is fair and ambitious in the light of its national circumstances brazil is a developing country and as such struggles with challenges associated with poverty eradication the need to improve its development indexes in areas that include education public health employment rates housing and social inclusion,text,8881866132e69cbde7feaf43a2a2e3fc,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 27}",,,Updated - First NDC - FINAL - PDF.docx
in spite of its challenges brazil has contributed greatly with the global efforts to mitigate greenhouse gas emissions thus proving that it is possible to decouple economic growth and emissions in the pre period the brazilian government has voluntarily committed to implementing sectoral initiatives that taken together could reduce the projection of brazilian emissions by in in most of these sectors brazil has exceeded its expectations having substantially increased the share of renewable sources in its energy mix and almost doubled the restored area of degraded lands in spite of current challenges and progress achieved so far the brazilian government also worked to update its ndc in december with a view to raise its level of ambition,text,65c2e42fc9cd2bc5868966872161de82,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 28}",,,Updated - First NDC - FINAL - PDF.docx
in light of the agreement embodied in the glasgow climate pact brazil has now once again updated its ndc to further increase its levels of ambition the brazilian ndc is one of the most ambitious in the world besides its targets brazil is one of the few countries that adopted a commitment for as well as which will provide for a better monitoring of the mitigation efforts throughout the decade brazil therefore understands that it is making an important contribution to international efforts to combat climate change in both absolute and relative terms currently of the brazilian territory is covered by protected areas such as conservation units and indigenous lands,text,b27b4504fad1af640571fd6d8b590866,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 29}",,,Updated - First NDC - FINAL - PDF.docx
brazilian environmental laws are among the most advanced in the world given that they require landowners to preserve of their lands and that they establish additional protective measures for fragile ecosystems together with the protected areas established under the brazilian forest code approximately of the brazilian territory is under some kind of protection despite this the brazilian government has chosen to go even beyond already existing laws and policies and commit to eliminating illegal deforestation by,text,dbf84fb9ff10e873181d3f3b5c71f124,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 30}",,,Updated - First NDC - FINAL - PDF.docx
still regarding the land use sector the low carbon agriculture plan abc plan has already channeled r billion to implement a vast range of mitigation measures which include recovering degraded lands projects of nitrogen fixation increased accumulation of organic matter carbon in the soil notill farming the integration of forest crops and cattle breeding agroforestry and forest planting by the abc plan had exceeded its goals by and is to be continued from to through the sectoral adaptation plan for a low carbon agriculture for sustainable development plan abc it is a key policy among brazilian sectoral efforts to tackle climate change brazil has one of the cleanest energy mixes in the world,text,77717eb4696c20b89cd06935871b5a89,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 31}",,,Updated - First NDC - FINAL - PDF.docx
in renewable sources accounted for of the total demand for energy three times the world average in the electricity demand mix the share of renewables accounted for as for the transport mix it represents of the sources the production of biofuels for the transport sector has substantially increased due to renovabio which uses market incentives to promote the decarbonisation of the sector and to incentivize these kinds of fuels,text,8909df5147a167f122623b5d0856be79,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 32}",,,Updated - First NDC - FINAL - PDF.docx
the use of hydropower to generate electricity accounts for of the national installed capacity and has proven to be the best available technology to compensate for the intermittency and seasonality that affect other sources of renewable sources such as wind and solar energy as well as biomass brazil has also made significant investments nonetheless in solar and wind energy and biomass which already account for of the country s energy mix and are experiencing rapid growth regarding the issue of means of implementation the brazilian ndc remains unconditional fairness considerations including reflecting on equity most of the current concentration of greenhouse gases in the atmosphere is a result of emissions that have taken place since the industrial revolution the post period,text,afbb25521d87b1710e6fd518ce5cdcfe,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 33}",,,Updated - First NDC - FINAL - PDF.docx
current generations are bearing the costs of past interference with the global climate system resulting from human activities and consequent greenhouse gas emissions primarily by developed countries during the last two and a half centuries in order to build a fair global response to climate change it is therefore of central importance to establish a connection between cause anthropogenic emissions and effect temperature increase and climate change the average increase in the global temperature due to anthropogenic emissions is an objective criterion to measure climate change serving the purpose of establishing upper limits to prevent dangerous anthropogenic interference with the global climate system,text,75208ea531e796bfe8facc99bb1d0c69,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 34}",,,Updated - First NDC - FINAL - PDF.docx
the relative contribution of any individual actor to global climate change can be determined using the average increase in the global temperature as an indicator the contribution of each individual actor to temperature increases should take into account differences in terms of starting points population approaches economic structures natural resources the need to maintain sustainable economic growth available technologies and other individual circumstances the reconstruction of the historical series of net anthropogenic emissions allows for the estimation of the relative share of the temperature increase attributable to each individual country including in per capita terms,text,8961bab435ed62bbda76fc859af35ed7,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 35}",,,Updated - First NDC - FINAL - PDF.docx
the relative responsibility of a given country in relation to the average increase in the global temperature can be estimated with a high level of confidence hence the marginal relative contribution to the global average surface temperature increase is a relevant measure for evaluating the level of each party s responsibility in the collective effort to holding the increase in the global average temperature to well below c above preindustrial levels and pursuing efforts to limit the temperature increase to c above preindustrial levels in accordance with article a of the paris agreement,text,2f6e0f5e7e85f16dceb0afbbb8d1aa24,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 36}",,,Updated - First NDC - FINAL - PDF.docx
how the party has addressed article paragraph of the paris agreement the target of reducing emissions by between and represents an increase of percentage points compared to the previous target of reducing emissions by between and the current target is also consistent with a longterm objective of reaching climate neutrality by how the party has addressed article paragraph of the paris agreement despite being a developing country brazil has already adopted an absolute economywide target since it presented its indc how the party has addressed article paragraph of the paris agreement not applicable,text,1815986a27d506b6538c1347b34c20c8,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 37}",,,Updated - First NDC - FINAL - PDF.docx
how the nationally determined contribution contributes towards achieving the objective of the convention as set out in its article how the nationally determined contribution contributes towards achieving the objective of the convention as set out in its article by presenting one of the most ambitious ndcs in the world brazil understands it is significantly contributing to the stabilization of greenhouse gas concentrations in the atmosphere at a level that would prevent dangerous anthropogenic interference with the climate system consistent with article of the unfccc,text,2e27968103d6f54e7e43e1dd38c11006,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 38}",,,Updated - First NDC - FINAL - PDF.docx
by the same token brazil believes to be contributing to the collective effort to hold the increase in the global average temperature to well below c above preindustrial levels and pursuing efforts to limit the temperature increase to c above preindustrial levels consistent with article a of the paris agreement how the nationally determined contribution contributes towards article paragraph a and article paragraph of the paris agreement as per article of the paris agreement brazil presents a sizeable emission reduction target which largely exceeds any goals related to peaking emissions brazil s ndc is compatible with a longterm objective of achieving carbon neutrality in,text,cb2287fc56eeea799c3f41663466b929,"{'name': 'Updated - First NDC - FINAL - PDF.docx', '_split_id': 39}",,,Updated - First NDC - FINAL - PDF.docx
